ZipCode,LicenseCount
0.0,1
100.0,1
121.0,1
687.0,2
923.0,2
1001.0,1
1002.0,5
1006.0,2
1009.0,5
1033.0,1
1067.0,2
1105.0,4
1122.0,2
1130.0,1
1135.0,2
1175.0,4
1214.0,1
1305.0,2
1312.0,1
1358.0,4
1418.0,1
1453.0,1
1830.0,1
1841.0,1
2118.0,1
2130.0,1
2138.0,3
2668.0,1
2817.0,7
2852.0,1
2914.0,1
3833.0,2
4046.0,1
4856.0,1
5629.0,1
6095.0,2
6279.0,1
6371.0,1
6403.0,2
6457.0,2
6473.0,2
6511.0,1
6514.0,1
6518.0,1
6605.0,1
6614.0,1
6615.0,2
6706.0,1
6708.0,4
6710.0,2
6793.0,3
6812.0,1
6824.0,2
6840.0,1
6851.0,1
6854.0,1
6880.0,1
6901.0,3
6902.0,2
6905.0,1
7002.0,5
7010.0,1
7013.0,1
7018.0,1
7022.0,2
7024.0,2
7026.0,1
7030.0,6
7032.0,1
7033.0,2
7036.0,3
7047.0,5
7052.0,3
7055.0,1
7065.0,3
7068.0,1
7086.0,1
7087.0,8
7088.0,1
7090.0,3
7093.0,11
7094.0,1
7102.0,1
7105.0,1
7107.0,5
7109.0,1
7202.0,1
7204.0,1
7206.0,2
7302.0,15
7304.0,5
7305.0,1
7306.0,3
7307.0,5
7310.0,2
7410.0,1
7420.0,1
7430.0,6
7440.0,2
7456.0,3
7458.0,3
7470.0,3
7480.0,2
7501.0,3
7502.0,1
7522.0,3
7601.0,2
7606.0,1
7624.0,4
7628.0,1
7631.0,1
7650.0,1
7657.0,1
7660.0,4
7666.0,2
7675.0,1
7712.0,2
7726.0,1
7728.0,7
7730.0,1
7733.0,5
7735.0,3
7740.0,2
7747.0,1
7748.0,1
7843.0,2
7849.0,2
7866.0,1
7928.0,3
7977.0,1
8009.0,1
8027.0,4
8046.0,1
8048.0,1
8075.0,1
8104.0,2
8110.0,1
8234.0,2
8401.0,1
8527.0,1
8618.0,1
8701.0,1
8721.0,4
8724.0,3
8816.0,2
8823.0,1
8830.0,2
8831.0,1
8852.0,2
8901.0,1
9012.0,1
10001.0,4747
10002.0,5830
10003.0,7073
10004.0,719
10005.0,1704
10006.0,673
10007.0,1193
10008.0,12
10009.0,9678
10010.0,5551
10011.0,10249
10012.0,3893
10013.0,3532
10014.0,6810
10015.0,4
10016.0,7009
10017.0,2021
10018.0,1765
10019.0,7602
10020.0,19
10021.0,6600
10022.0,5159
10023.0,11189
10024.0,10581
10025.0,13819
10026.0,2846
10027.0,4278
10028.0,7884
10029.0,7441
10030.0,1552
10031.0,3410
10032.0,3366
10033.0,3579
10034.0,2993
10035.0,2558
10036.0,5499
10037.0,1289
10038.0,3722
10039.0,1801
10040.0,2676
10041.0,3
10044.0,1016
10045.0,2
10048.0,3
10050.0,1
10065.0,4573
10067.0,1
10068.0,1
10069.0,1387
10075.0,4136
10101.0,13
10107.0,2
10108.0,10
10111.0,6
10112.0,1
10113.0,7
10115.0,1
10116.0,8
10118.0,1
10119.0,12
10120.0,1
10123.0,5
10125.0,2
10126.0,1
10128.0,10174
10129.0,10
10150.0,32
10151.0,6
10153.0,1
10155.0,4
10156.0,7
10159.0,14
10162.0,82
10163.0,25
10165.0,2
10168.0,1
10169.0,1
10175.0,1
10176.0,2
10179.0,1
10185.0,33
10216.0,1
10217.0,1
10244.0,1
10247.0,1
10262.0,1
10268.0,1
10272.0,8
10274.0,6
10275.0,1
10276.0,7
10279.0,2
10280.0,1476
10281.0,8
10282.0,782
10283.0,1
10295.0,1
10301.0,3460
10302.0,1557
10303.0,1771
10304.0,3718
10305.0,4227
10306.0,7134
10307.0,1739
10308.0,4191
10309.0,4333
10310.0,2477
10312.0,8805
10313.0,8
10314.0,8886
10315.0,2
10333.0,3
10362.0,1
10370.0,1
10373.0,1
10408.0,1
10422.0,1
10450.0,1
10451.0,2120
10452.0,2040
10453.0,1986
10454.0,1998
10455.0,1938
10456.0,2813
10457.0,2240
10458.0,2532
10459.0,1909
10460.0,2506
10461.0,4291
10462.0,4401
10463.0,5025
10464.0,740
10465.0,4525
10466.0,1980
10467.0,3701
10468.0,2126
10469.0,2970
10470.0,711
10471.0,2327
10472.0,2819
10473.0,4055
10474.0,434
10475.0,1647
10476.0,1
10495.0,1
10502.0,1
10506.0,4
10510.0,5
10511.0,1
10512.0,11
10514.0,1
10520.0,7
10522.0,1
10523.0,2
10526.0,2
10528.0,2
10530.0,8
10533.0,1
10536.0,1
10537.0,1
10538.0,2
10541.0,14
10543.0,1
10548.0,1
10549.0,4
10550.0,21
10552.0,10
10553.0,4
10562.0,8
10566.0,6
10567.0,7
10569.0,1
10570.0,4
10573.0,12
10576.0,1
10577.0,6
10579.0,1
10580.0,3
10583.0,16
10589.0,1
10591.0,5
10595.0,2
10598.0,4
10601.0,5
10603.0,10
10604.0,1
10605.0,11
10606.0,5
10701.0,78
10703.0,25
10704.0,51
10705.0,39
10706.0,6
10707.0,5
10708.0,21
10710.0,30
10801.0,27
10803.0,10
10804.0,1
10805.0,12
10859.0,2
10901.0,14
10918.0,12
10920.0,4
10925.0,2
10926.0,2
10927.0,4
10930.0,7
10933.0,11
10940.0,22
10941.0,1
10950.0,13
10952.0,1
10954.0,4
10956.0,17
10958.0,2
10962.0,3
10964.0,1
10965.0,2
10968.0,1
10970.0,4
10971.0,1
10977.0,3
10980.0,3
10983.0,1
10984.0,2
10985.0,2
10987.0,1
10989.0,1
10990.0,5
10992.0,8
10993.0,2
10996.0,1
11001.0,271
11002.0,2
11003.0,68
11004.0,1031
11005.0,13
